epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.886,1.35407,7.10471,0.03708,0.11111,0.33333,0.335,0.15075,0.92139,8.38822,0.03636,0.000366806,0.000366806,0.000366806
2,504.171,1.27644,3.83774,0.03447,0.05,0.66667,0.357,0.25667,1.79159,4.98911,0.07532,0.000722544,0.000722544,0.000722544
3,759.573,1.46469,3.06634,0.03964,0.86722,0.66667,0.863,0.3869,1.79648,2.60388,0.07855,0.00106362,0.00106362,0.00106362
4,1000.36,1.51337,2.62389,0.04232,1,0.59291,0.9125,0.53282,1.74465,2.06395,0.07362,0.00104501,0.00104501,0.00104501
5,1246.2,1.48679,2.48193,0.03968,0.907,0.66667,0.764,0.22269,2.741,1.90003,0.12614,0.00102301,0.00102301,0.00102301
6,1494.97,1.52484,2.40177,0.04156,0.11111,0.33333,0.1675,0.05025,1.97273,5.39491,0.08654,0.00100101,0.00100101,0.00100101
7,1744.77,1.47396,2.31382,0.04033,1,0.58925,0.78875,0.26252,2.87423,2.14224,0.13522,0.000979013,0.000979013,0.000979013
8,1993.13,1.46618,2.21378,0.03919,0.64303,0.66667,0.78875,0.29938,2.73007,2.06198,0.11825,0.000957015,0.000957015,0.000957015
9,2230.78,1.45811,2.0043,0.03745,0.25,1,0.995,0.32583,2.14171,3.3219,0.09656,0.000935018,0.000935018,0.000935018
10,2466.79,1.44081,2.03598,0.039,0.54165,0.66667,0.60833,0.29512,1.44405,1.94538,0.06147,0.00091302,0.00091302,0.00091302
11,2701.21,1.36167,1.93083,0.03609,0.97574,0.66667,0.83,0.26409,2.5266,2.60509,0.11046,0.000891022,0.000891022,0.000891022
12,2940.25,1.33506,1.85776,0.03552,1,0.59305,0.995,0.26803,2.49964,2.53295,0.11052,0.000869024,0.000869024,0.000869024
13,3188.27,1.34183,1.75319,0.03587,0.94948,0.66667,0.863,0.3915,2.35126,1.14727,0.09684,0.000847026,0.000847026,0.000847026
14,3422.95,1.32048,1.66897,0.03537,0.22222,0.66667,0.467,0.2603,1.19499,3.75255,0.04811,0.000825029,0.000825029,0.000825029
15,3656.39,1.31817,1.65841,0.03508,0.89983,0.33333,0.52524,0.25885,2.0416,2.89609,0.08841,0.000803031,0.000803031,0.000803031
16,3895.53,1.31277,1.63594,0.03497,0.5319,0.66667,0.72324,0.37929,1.73173,2.81917,0.07177,0.000781033,0.000781033,0.000781033
17,4136.33,1.31084,1.53165,0.03416,0.61092,0.66667,0.555,0.18495,2.36969,1.83004,0.11618,0.000759035,0.000759035,0.000759035
18,4371.09,1.3098,1.56518,0.0351,0.21815,1,0.356,0.14888,1.98435,3.35807,0.0848,0.000737037,0.000737037,0.000737037
19,4609.55,1.27443,1.46521,0.03362,0.51015,0.70049,0.731,0.28123,1.69214,2.49455,0.07805,0.00071504,0.00071504,0.00071504
20,4844.21,1.25,1.397,0.03274,0.69462,0.66667,0.665,0.3462,1.86851,3.24868,0.07781,0.000693042,0.000693042,0.000693042
21,5079.26,1.23173,1.37963,0.03228,0.92994,0.66667,0.74115,0.48123,1.52896,1.74299,0.06784,0.000671044,0.000671044,0.000671044
22,5294.25,1.20823,1.33031,0.03112,0.8619,0.33333,0.467,0.17364,1.91534,3.28424,0.07864,0.000649046,0.000649046,0.000649046
23,5409.27,1.2019,1.25714,0.03249,1,0.62754,0.775,0.3325,2.30544,3.46481,0.10108,0.000627048,0.000627048,0.000627048
24,5524.78,1.21716,1.21688,0.03191,0.85004,0.66667,0.665,0.3377,2.08046,2.90857,0.08877,0.000605051,0.000605051,0.000605051
25,5640.14,1.15952,1.14346,0.02931,0.81318,0.66667,0.665,0.39369,1.90186,2.51902,0.08433,0.000583053,0.000583053,0.000583053
26,5755.44,1.16364,1.15389,0.03034,1,0.59717,0.80643,0.45448,2.01795,2.25698,0.09246,0.000561055,0.000561055,0.000561055
27,5870.65,1.12925,1.16209,0.0296,1,0.6218,0.78875,0.35621,2.33504,2.68712,0.10562,0.000539057,0.000539057,0.000539057
28,5986.35,1.12105,1.12141,0.02888,1,0.58846,0.731,0.32336,2.42866,2.68643,0.11119,0.000517059,0.000517059,0.000517059
29,6101.37,1.10089,1.03088,0.02737,1,0.56239,0.764,0.48378,1.96583,2.40356,0.09043,0.000495062,0.000495062,0.000495062
30,6218.4,1.05538,1.00474,0.02736,0.16667,0.66667,0.665,0.37378,2.04321,2.76583,0.09619,0.000473064,0.000473064,0.000473064
31,6333.17,1.07347,1.01481,0.02732,0.52038,0.66667,0.555,0.28106,1.95091,2.76705,0.08826,0.000451066,0.000451066,0.000451066
32,6448.85,1.10115,0.93395,0.02745,0.14286,0.66667,0.42929,0.21943,2.40593,3.72042,0.11368,0.000429068,0.000429068,0.000429068
33,6564.44,1.05677,0.97438,0.02756,0.14286,0.66667,0.20595,0.09674,2.35576,3.72167,0.10929,0.00040707,0.00040707,0.00040707
34,6680.24,1.01787,0.91124,0.02552,0.48807,0.32538,0.3325,0.15,2.44721,3.52804,0.10992,0.000385073,0.000385073,0.000385073
