epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.204,1.48522,2.84996,1.89038,0.27812,0.66667,0.73571,0.29396,1.80819,3.38877,2.50877,0.000366806,0.000366806,0.000366806
2,283.476,1.37687,2.36291,1.72682,0.12973,0.33333,0.112,0.03124,2.6459,2.73083,3.72161,0.000722544,0.000722544,0.000722544
3,410.839,1.45511,2.23982,1.77344,0.42167,0.33333,0.1956,0.08937,2.61073,2.91563,3.11021,0.00106362,0.00106362,0.00106362
4,540.012,1.45491,2.12519,1.75319,0.01796,1,0.1194,0.03161,2.58901,4.53221,3.08887,0.00104501,0.00104501,0.00104501
5,674.443,1.438,2.04786,1.75349,0.01176,0.66667,0.08867,0.01388,3.22875,2.92428,4.72486,0.00102301,0.00102301,0.00102301
6,806.405,1.49295,1.99268,1.78344,0.45406,0.33333,0.3655,0.21748,2.02015,2.2074,3.56515,0.00100101,0.00100101,0.00100101
7,964.499,1.401,1.98085,1.72458,0.71269,1,0.9125,0.48315,1.90284,1.83697,2.38166,0.000979013,0.000979013,0.000979013
8,1130.86,1.42397,1.97047,1.73914,0.91324,1,0.995,0.46475,1.95192,1.86821,2.55777,0.000957015,0.000957015,0.000957015
9,1294.51,1.40473,1.84338,1.67283,1,0.99352,0.995,0.44825,2.05919,1.69719,2.305,0.000935018,0.000935018,0.000935018
10,1460.63,1.33064,1.86005,1.66585,1,0.9435,0.995,0.46617,1.60154,1.43031,2.17969,0.00091302,0.00091302,0.00091302
11,1623,1.31855,1.83279,1.66177,0.89016,1,0.995,0.34761,2.35916,1.90335,2.91061,0.000891022,0.000891022,0.000891022
12,1785.39,1.29292,1.76,1.61231,0.65429,0.66667,0.62571,0.31907,2.33233,1.42394,3.12066,0.000869024,0.000869024,0.000869024
13,1947.1,1.2482,1.71488,1.59425,0.75904,0.33333,0.37167,0.21567,2.59912,1.74357,4.15215,0.000847026,0.000847026,0.000847026
14,2105.34,1.24671,1.62465,1.58947,1,0.95595,0.995,0.30421,2.41144,1.69872,2.98775,0.000825029,0.000825029,0.000825029
15,2271.72,1.22662,1.61445,1.57844,0.64461,0.66667,0.47747,0.27854,1.971,1.54511,2.94631,0.000803031,0.000803031,0.000803031
16,2436.81,1.22186,1.56284,1.56856,0.98724,1,0.995,0.2995,2.17594,1.87183,2.73534,0.000781033,0.000781033,0.000781033
17,2594.18,1.14702,1.49252,1.5059,0.95605,0.66667,0.80643,0.37119,2.26618,2.1445,2.86151,0.000759035,0.000759035,0.000759035
18,2755.98,1.18694,1.55774,1.54317,1,0.94934,0.995,0.3325,2.41281,2.04369,3.1492,0.000737037,0.000737037,0.000737037
19,2918.57,1.15167,1.52934,1.52728,0.9721,1,0.995,0.3445,2.21413,1.64952,2.94759,0.00071504,0.00071504,0.00071504
20,3080.19,1.12705,1.40205,1.48981,1,0.6598,0.80643,0.29107,2.55557,2.38453,3.61953,0.000693042,0.000693042,0.000693042
21,3279.06,1.06117,1.39746,1.46698,0.97527,0.66667,0.9125,0.3528,2.30633,1.58605,2.83155,0.000671044,0.000671044,0.000671044
22,3452.77,1.12078,1.39775,1.48209,0.60518,0.54369,0.665,0.289,2.24678,2.58108,2.7734,0.000649046,0.000649046,0.000649046
23,3642.53,1.05784,1.29675,1.4643,0.63808,0.66667,0.555,0.3005,2.01129,3.77978,2.70211,0.000627048,0.000627048,0.000627048
24,3828.3,1.08927,1.28518,1.47559,1,0.87345,0.995,0.4325,2.08269,2.07344,2.57597,0.000605051,0.000605051,0.000605051
25,4018.11,1.04701,1.21484,1.41216,1,0.58653,0.863,0.42235,2.16053,2.60977,3.10338,0.000583053,0.000583053,0.000583053
26,4204.48,1.04418,1.22388,1.44343,0.65088,0.33333,0.577,0.3225,2.12494,2.73634,2.47774,0.000561055,0.000561055,0.000561055
27,4392.13,1.01902,1.25027,1.43779,0.47325,0.66667,0.4315,0.21955,2.04301,2.60645,2.66578,0.000539057,0.000539057,0.000539057
28,4574.89,1.00127,1.19739,1.40042,0.95175,0.33333,0.566,0.2939,2.2751,2.71679,3.36032,0.000517059,0.000517059,0.000517059
29,4761.35,1.02801,1.10466,1.40108,1,0.62447,0.80643,0.34764,2.05256,2.20725,2.74989,0.000495062,0.000495062,0.000495062
30,4944.41,0.95679,1.09736,1.37802,0.90107,1,0.995,0.33792,2.34269,1.82001,3.00335,0.000473064,0.000473064,0.000473064
31,5133.64,0.97535,1.09516,1.38561,1,0.8226,0.995,0.3325,2.32215,2.25922,2.95179,0.000451066,0.000451066,0.000451066
32,5321.49,0.9449,1.02633,1.34899,0.68149,0.72598,0.9125,0.32475,1.67743,2.83599,2.8076,0.000429068,0.000429068,0.000429068
33,5506.97,0.93449,1.07035,1.37679,0.92167,1,0.995,0.44825,2.02408,2.00666,2.78586,0.00040707,0.00040707,0.00040707
34,5687.39,0.91919,1.00952,1.33777,1,0.96395,0.995,0.5985,1.89598,1.28257,2.44651,0.000385073,0.000385073,0.000385073
35,5869.22,0.93093,1.02256,1.33634,1,0.91755,0.995,0.466,1.92705,2.6995,2.57901,0.000363075,0.000363075,0.000363075
36,6049.97,0.93828,0.98923,1.34632,1,0.93311,0.995,0.4985,1.8401,1.9607,2.53959,0.000341077,0.000341077,0.000341077
37,6234.54,0.88576,0.95464,1.31423,1,0.8946,0.995,0.4985,2.0485,2.84103,2.62682,0.000319079,0.000319079,0.000319079
38,6419.98,0.89449,0.93241,1.32498,0.97308,1,0.995,0.38365,2.21503,1.60427,2.87018,0.000297081,0.000297081,0.000297081
39,6600.98,0.86164,0.91774,1.29458,0.89282,1,0.995,0.39292,2.19456,1.87837,2.93378,0.000275084,0.000275084,0.000275084
40,6782.68,0.83655,0.87691,1.27084,0.9899,1,0.995,0.35112,2.25177,1.84978,2.99006,0.000253086,0.000253086,0.000253086
41,6963.23,0.72053,0.68391,1.33886,1,0.95567,0.995,0.499,1.88966,1.64754,2.5188,0.000231088,0.000231088,0.000231088
42,7142.97,0.67792,0.59638,1.25164,1,0.63608,0.995,0.5386,1.91242,2.59135,2.45199,0.00020909,0.00020909,0.00020909
43,7323.3,0.67914,0.60108,1.2828,1,0.81258,0.995,0.3995,2.14893,2.47718,2.94053,0.000187092,0.000187092,0.000187092
44,7501.49,0.63356,0.57082,1.24119,1,0.86121,0.995,0.3995,2.31171,2.21233,3.08347,0.000165095,0.000165095,0.000165095
45,7681.54,0.62952,0.48439,1.2323,1,0.735,0.995,0.3995,2.31863,2.31705,3.18918,0.000143097,0.000143097,0.000143097
46,7860.44,0.60648,0.49284,1.21009,1,0.83271,0.995,0.41,2.28201,1.98581,3.06878,0.000121099,0.000121099,0.000121099
47,8039.68,0.5697,0.43736,1.18885,1,0.8077,0.995,0.4457,2.12608,2.31951,2.84044,9.91012e-05,9.91012e-05,9.91012e-05
48,8220.24,0.56502,0.4396,1.16986,0.93735,0.66667,0.9125,0.4957,1.88016,2.41369,2.55629,7.71034e-05,7.71034e-05,7.71034e-05
49,8404.22,0.54928,0.42612,1.17209,1,0.93665,0.995,0.532,1.97203,2.48945,2.77515,5.51056e-05,5.51056e-05,5.51056e-05
50,8583.94,0.53508,0.42987,1.15394,1,0.90429,0.995,0.5122,2.00484,2.1523,2.66939,3.31078e-05,3.31078e-05,3.31078e-05
